Contract.Date	Transaction.Date	Address	Price	Block.Size.m2	Transaction.Type	Purpose	Advertise.Date	Bed.Num	Bath.Num	Ensuite.Num	Garage.Num	Carport.Num
22/05/2011	27/08/2012	16 Dungowan Street	0	1412	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
23/10/2011	19/12/2011	53 Woolner Circuit	0	1881	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
31/10/2011	9/01/2013	1/32 Springvale Drive	0	4247	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
29/09/2011	22/12/2011	29 Gorrie Close	0	357	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
19/10/2011	5/12/2011	56 Alroy Circuit	0	914	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
6/11/2011	23/04/2012	16 Marrakai Street	0	2852	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
21/12/2011	19/01/2012	63 Ambalindum Street	0	1227	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
12/06/2011	13/01/2012	4/41 Jinka Street	0	10583	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
28/09/2011	18/01/2012	99 Erldunda Circuit	0	745	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
28/11/2011	11/01/2012	29 Alroy Circuit	0	804	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
15/01/2011	3/05/2011	26 Mataranka Street	NA	982	Partial transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
22/03/2011	4/04/2011	7/28 Springvale Drive	NA	3934	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
12/02/2011	20/07/2011	13 Goodparla Street	NA	1295	Partial transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
9/05/2011	15/08/2011	12 Kulgera Street	NA	780	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
2/05/2011	11/07/2011	2/13 Andado Place	NA	2189	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
15/03/2011	21/09/2011	4/9 Jinka Street	NA	3362	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
8/04/2011	29/08/2011	30 Mataranka Street	NA	952	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
11/05/2011	3/06/2011	5/8 Bonrook Street	NA	5017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
20/02/2010	11/05/2010	11 Dungowan Street	1113000	1777	Full transfer	Single residential dwelling	23/03/2010	4	1	1	NA	2
20/11/2010	1/03/2011	22 Marrakai Street	1105000	3035	Full transfer	Single residential dwelling	13/10/2010	5	1	2	2	NA
20/10/2010	28/01/2011	30 Marrakai Street	1050000	1850	Full transfer	Single residential dwelling	20/09/2010	5	2	2	2	NA
20/10/2010	8/02/2011	42 Marrakai Street	1020000	1547	Full transfer	Single residential dwelling	13/10/2010	5	2	1	2	NA
29/10/2010	2/03/2011	19 Marrakai Street	840000	1296	Full transfer	Single residential dwelling	12/08/2010	4	1	1	NA	2
29/03/2010	14/05/2010	5 Kurundi Place	825000	1127	Full transfer	Single residential dwelling	25/02/2010	4	1	2	2	NA
21/08/2010	27/10/2010	34 Ambalindum Street	822500	1161	Full transfer	Single residential dwelling	29/07/2010	4	2	1	1	2
30/07/2010	20/09/2010	23 Goodparla Street	820000	1178	Full transfer	Single residential dwelling	20/04/2010	4	2	1	NA	2
25/05/2010	30/06/2010	21 Kulgera Street	810000	859	Full transfer	Single residential dwelling	20/04/2010	4	1	2	2	NA
12/08/2010	21/02/2011	21 Mainoru Place	810000	2089	Full transfer	Single residential dwelling	21/07/2010	4	1	1	2	NA
6/08/2010	17/09/2010	2 Andado Place	770000	1217	Full transfer	Single residential dwelling	16/04/2010	5	1	1	3	NA
29/05/2010	20/07/2010	11 Alexandria Street	765000	1010	Full transfer	Single residential dwelling	5/05/2010	5	1	1	1	2
18/11/2010	2/02/2011	2 Mataranka Street	739500	819	Full transfer	Single residential dwelling	19/10/2010	4	1	1	NA	1
21/09/2010	8/11/2010	5 Anningie Place	738000	1170	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
7/04/2010	21/05/2010	39 Alexandria Street	733000	1284	Full transfer	Single residential dwelling	18/03/2010	4	1	2	2	1
12/03/2010	16/04/2010	23 Elsey Street	680000	1051	Full transfer	Single residential dwelling	25/01/2010	4	1	1	2	NA
3/04/2010	2/06/2010	5 Mataranka Street	665000	980	Full transfer	Single residential dwelling	10/03/2010	4	2	1	2	NA
13/12/2010	29/04/2011	52 Woolner Circuit	650000	1212	Full transfer	Single residential dwelling	18/11/2010	4	1	1	2	NA
26/06/2010	11/08/2010	24 Alroy Circuit	632000	830	Full transfer	Single residential dwelling	31/05/2010	4	1	1	2	NA
1/04/2010	25/05/2010	56 Alroy Circuit	629000	914	Full transfer	Single residential dwelling	24/03/2010	3	2	NA	1	NA
23/12/2010	21/02/2011	1 Elsey Street	625000	920	Full transfer	Single residential dwelling	8/12/2010	4	1	1	1	NA
10/06/2010	27/07/2010	30 Erldunda Circuit	610000	743	Full transfer	Single residential dwelling	21/04/2010	3	1	1	NA	2
3/08/2010	16/09/2010	1 Alroy Circuit	600000	878	Full transfer	Single residential dwelling	13/07/2010	4	1	1	2	NA
3/03/2010	22/06/2010	24 Kulgera Street	550000	914	Full transfer	Single residential dwelling	5/02/2010	3	1	1	NA	2
3/06/2010	15/09/2010	2 Gorrie Close	485000	597	Full transfer	Medium density dwelling	26/05/2010	3	1	1	1	NA
10/02/2010	21/04/2010	13 Elkedra Close	482000	283	Full transfer	Medium density dwelling	7/01/2010	3	1	1	1	1
23/03/2010	NA	"U20, Hawker Place *"	455000	NA	Full transfer	NA	9/07/2009	3	1	1	2	NA
19/10/2010	24/11/2010	19/170 Hawker Place	455000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
23/03/2010	19/01/2011	20/170 Hawker Place	455000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
8/04/2010	NA	"U1, Hawker Place *"	445000	NA	Full transfer	NA	30/10/2009	3	1	1	2	NA
25/08/2010	16/12/2010	7/9 Jinka Street	445000	3362	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
28/09/2010	19/01/2011	3 Marqua Place	445000	390	Full transfer	Medium density dwelling	2/09/2010	3	1	1	2	NA
8/04/2010	15/11/2010	1/170 Hawker Place	445000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/08/2010	16/09/2010	31 Gorrie Close	445000	357	Full transfer	Medium density dwelling	7/07/2010	3	1	NA	1	NA
8/05/2010	25/06/2010	9/27 Jinka Street	443000	6071	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
18/08/2010	3/09/2010	8 Gorrie Close	436000	286	Full transfer	Medium density dwelling	29/06/2010	3	1	NA	1	NA
2/12/2010	12/04/2011	26 Epenarra Close	430000	334	Full transfer	Medium density dwelling	25/11/2010	2	1	NA	NA	NA
9/07/2010	NA	3/27 Jinka Street *	430000	6071	Full transfer	NA	25/05/2010	2	1	1	1	NA
11/08/2010	23/09/2010	12/21 Jinka Street	426200	10221	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
28/01/2010	11/03/2010	9/8 Bonrook Street	415000	5017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
3/03/2010	30/11/2010	15/170 Hawker Place	410000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
18/03/2010	22/04/2010	31 Elkedra Close	398000	353	Full transfer	Medium density dwelling	24/02/2010	3	1	NA	NA	2
12/01/2010	29/03/2010	10/21 Jinka Street	395000	10221	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
12/01/2010	18/02/2010	7/8 Walhallow Street	382000	8574	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
10/05/2010	25/06/2010	5/21 Jinka Street	380000	10221	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
16/09/2010	27/10/2010	7/30 Springvale Drive	330000	4017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
16/08/2010	NA	3/8 Beetaloo Street *	310000	5520	Full transfer	NA	21/06/2010	2	1	NA	1	NA
3/03/2010	25/05/2010	17/30 Springvale Drive	310000	4017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/12/2010	16/02/2011	9/28 Springvale Drive	308000	3934	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
29/07/2010	3/09/2010	19/8 Beetaloo Street	299500	5520	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
27/08/2010	NA	19/8 Beetaloo Street *	299500	5520	Full transfer	NA	29/04/2010	2	1	NA	NA	1
8/10/2010	12/01/2011	12/3 Bonrook Street	291000	3862	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
26/08/2010	15/10/2010	2/26 Springvale Drive	288000	4379	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/09/2010	NA	1B/4 Beetaloo Street *	281000	7773	Full transfer	NA	9/08/2010	2	1	NA	1	NA
9/09/2010	12/10/2010	9/4 Beetaloo Street	281000	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
17/06/2010	NA	2C/4 Beetaloo Street *	275000	7741	Full transfer	NA	26/03/2010	2	1	NA	NA	NA
17/06/2010	21/07/2010	18/4 Beetaloo Street	275000	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
14/10/2010	19/11/2010	22/4 Beetaloo Street	267000	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
21/07/2010	3/09/2010	9/26 Springvale Drive	267000	4379	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
14/10/2010	NA	6C/4 Beetaloo Street *	267000	7773	Full transfer	NA	24/08/2010	2	1	NA	1	NA
23/04/2010	11/06/2010	9/153 Murranji Street	245000	5542	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
1/11/2010	16/12/2010	13/26 Springvale Drive	220000	4379	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
30/06/2010	30/07/2010	14/26 Springvale Drive	208500	4379	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
7/09/2010	24/11/2010	45 Elkedra Close	131667	314	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
6/10/2010	28/11/2011	24/30 Springvale Drive	0	4017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
23/07/2010	10/09/2010	8/21 Jinka Street	NA	10221	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
8/11/2010	19/01/2011	1 Elsey Street	NA	920	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
14/09/2010	4/03/2011	12/32 Springvale Drive	NA	4247	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
29/05/2010	20/09/2010	9/4 Beetaloo Street	NA	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/03/2010	20/06/2011	19/1 Delamere Street	NA	18341	Partial transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
23/07/2010	22/09/2010	15/41 Jinka Street	NA	10583	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/09/2010	15/11/2010	26 Murranji Street	NA	1373	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
7/09/2010	19/11/2010	13 Moroak Street	NA	1087	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
14/09/2010	4/03/2011	14/32 Springvale Drive	NA	4247	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/07/2009	6/08/2009	108 Hawker Place	1380000	717	Full transfer	Non retail commercial uses	NA	NA	NA	NA	NA	NA
9/06/2009	NA	Hawker Tennis Centre *	1200000	12699	Full transfer	NA	19/06/2008	NA	NA	NA	NA	NA
15/06/2009	28/09/2009	19 Walhallow Street	1190000	12699	Full transfer	Tennis court	NA	NA	NA	NA	NA	NA
19/12/2009	6/05/2010	14 Elsey Street	1000000	1843	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
18/11/2009	19/01/2010	38 Ambalindum Street	890000	1024	Full transfer	Single residential dwelling	28/10/2009	5	1	2	2	NA
31/10/2009	7/02/2010	5 Elsey Street	840000	1403	Full transfer	Single residential dwelling	9/10/2009	4	1	1	2	NA
21/02/2009	14/04/2009	1/14 Andado Place	825000	1808	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
19/11/2009	10/02/2010	5 Ambalindum Street	825000	1615	Full transfer	Single residential dwelling	28/10/2009	4	2	1	2	NA
2/10/2009	3/05/2010	23 Ambalindum Street	825000	1212	Full transfer	Single residential dwelling	7/09/2009	5	1	1	NA	2
27/02/2009	NA	1/14 Andado Place *	825000	958	Full transfer	NA	13/11/2008	4	1	1	2	NA
25/07/2009	28/09/2009	19 Marrakai Street	811750	1296	Full transfer	Single residential dwelling	2/07/2009	4	1	1	NA	2
18/07/2009	3/09/2009	11 Goodparla Street	800000	1317	Full transfer	Single residential dwelling	25/06/2009	4	2	1	3	NA
27/03/2009	20/05/2009	57 Woolner Circuit	800000	2122	Full transfer	Single residential dwelling	7/11/2008	4	1	1	2	1
5/06/2009	5/08/2009	59 Erldunda Circuit	770000	952	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
3/04/2009	10/11/2009	5 Goodparla Street	755000	1047	Full transfer	Single residential dwelling	5/03/2009	5	2	2	NA	2
25/07/2009	26/10/2009	79 Erldunda Circuit	715000	1215	Full transfer	Single residential dwelling	2/07/2009	4	2	1	3	NA
14/08/2009	8/10/2009	55 Erldunda Circuit	676000	952	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
6/10/2009	25/01/2010	6 Kyabra Place	650000	945	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
10/03/2009	28/04/2009	31 Ambalindum Street	647000	1326	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
18/09/2009	6/11/2009	14 Kulgera Street	645000	825	Full transfer	Single residential dwelling	2/09/2009	3	1	2	2	NA
10/06/2009	25/09/2009	5 Anningie Place	640000	1170	Full transfer	Single residential dwelling	28/05/2009	4	1	1	2	1
15/10/2009	NA	22 Woolner Circuit *	625000	1256	Full transfer	NA	24/09/2009	4	1	1	2	NA
11/11/2009	8/02/2010	12 Alroy Circuit	610000	766	Full transfer	Single residential dwelling	20/10/2009	4	1	1	1	NA
3/02/2009	10/03/2009	45 Tanumbirini Street	605000	889	Full transfer	Single residential dwelling	28/01/2009	4	2	1	3	NA
4/08/2009	23/11/2009	7 Elsey Street	580500	1010	Full transfer	Single residential dwelling	7/07/2009	3	1	1	NA	1
24/10/2009	13/01/2010	6 Tobermorey Place	580000	917	Full transfer	Single residential dwelling	23/09/2009	4	1	1	2	NA
24/02/2009	24/03/2009	66 Springvale Drive	510000	1086	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
29/10/2009	6/12/2010	11/170 Hawker Place	470000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
7/10/2009	19/01/2011	14/170 Hawker Place	450000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/12/2009	18/02/2010	19 Elkedra Close	450000	302	Full transfer	Medium density dwelling	22/10/2009	3	1	NA	1	NA
30/11/2009	7/02/2010	148 Murranji Street	450000	300	Full transfer	Medium density dwelling	8/10/2009	3	1	NA	1	NA
22/12/2009	23/11/2010	16/170 Hawker Place	445000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/12/2009	17/11/2010	2/170 Hawker Place	445000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
14/09/2009	10/11/2010	13/170 Hawker Place	440000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
24/02/2009	28/04/2009	4/9 Jinka Street	439000	3362	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
22/10/2009	22/11/2010	18/170 Hawker Place	430000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
16/11/2009	17/11/2010	9/170 Hawker Place	425000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
23/10/2009	26/11/2009	7 Marqua Place	422500	402	Full transfer	Medium density dwelling	2/10/2009	3	1	1	2	NA
7/12/2009	7/02/2010	27 Elkedra Close	420000	353	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
22/12/2009	24/11/2010	17/170 Hawker Place	420000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
2/10/2009	7/12/2010	10/170 Hawker Place	415000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
15/05/2009	5/08/2009	2/9 Jinka Street	410000	3362	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
19/11/2009	22/12/2010	12/170 Hawker Place	410000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
7/07/2009	24/08/2009	9 Elkedra Close	405000	279	Full transfer	Medium density dwelling	12/06/2009	3	1	NA	1	NA
22/05/2009	13/07/2009	4/1 Limbunya Street	405000	2159	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
22/12/2009	21/02/2010	122 Murranji Street	402000	415	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
14/09/2009	28/01/2010	36 Epenarra Close	400000	302	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
18/02/2009	20/03/2009	53 Elkedra Close	394500	472	Full transfer	Medium density dwelling	7/01/2009	3	1	1	1	NA
3/09/2009	10/02/2010	20 Epenarra Close	387500	297	Full transfer	Medium density dwelling	12/08/2009	3	1	0	NA	1
5/05/2009	NA	2/27 Jinka Street *	387000	6071	Full transfer	NA	24/03/2009	NA	NA	NA	NA	NA
21/04/2009	31/05/2009	2/27 Jinka Street	387000	6071	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
23/12/2009	8/02/2010	12 Gorrie Close	385500	277	Full transfer	Medium density dwelling	3/12/2009	3	1	NA	1	NA
13/01/2009	12/02/2009	4 Epenarra Close	380000	302	Full transfer	Medium density dwelling	30/10/2008	3	1	1	1	NA
29/09/2009	16/11/2009	6/8 Walhallow Street	375000	8574	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
11/05/2009	NA	8/8 Walhallow Street *	365000	8574	Full transfer	NA	16/04/2009	3	1	0	NA	1
3/06/2009	NA	5/8 Walhallow Street *	365000	8574	Full transfer	NA	12/05/2009	2	1	0	NA	1
2/06/2009	3/08/2009	5/8 Walhallow Street	365000	8574	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/02/2009	18/03/2009	30 Elkedra Close	359000	548	Full transfer	Medium density dwelling	21/01/2009	2	1	0	1	NA
20/11/2009	28/01/2010	13 Gorrie Close	356500	279	Full transfer	Medium density dwelling	9/10/2009	2	1	NA	1	NA
27/10/2009	NA	Hawker Pl *	350000	NA	Full transfer	NA	9/07/2009	1	1	NA	1	NA
16/02/2009	23/03/2009	4/8 Walhallow Street	330000	8574	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
3/08/2009	22/10/2009	23/32 Springvale Drive	290000	4247	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
1/09/2009	NA	23/32 Springvale Drive *	290000	4247	Full transfer	NA	25/06/2009	3	1	1	NA	1
22/10/2009	30/11/2009	6/32 Springvale Drive	278000	4247	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/11/2009	NA	6/32 Spingvale Drive *	278000	4247	Full transfer	NA	15/09/2009	2	1	NA	NA	NA
9/02/2009	NA	9/30 Springvale Drive *	276000	NA	Full transfer	NA	12/11/2008	3	1	1	NA	1
5/02/2009	8/04/2009	9/30 Springvale Drive	276000	4017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
30/04/2009	4/06/2009	24/28 Springvale Drive	270000	3934	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
30/09/2009	NA	17/26 Springvale Drive *	265000	4379	Full transfer	NA	18/08/2009	2	1	NA	NA	1
21/09/2009	18/11/2009	17/26 Springvale Drive	265000	4379	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
21/01/2009	3/03/2009	2/153 Murranji Street	250000	5542	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
19/08/2009	11/09/2009	4/27 Jinka Street	135000	6071	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
3/10/2009	1/11/2011	16/30 Springvale Drive	2000	4017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
29/05/2009	10/06/2009	9 Marqua Place	NA	386	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
23/05/2009	9/10/2009	49 Tanumbirini Street	NA	1007	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
11/08/2009	12/08/2010	11 Tanumbirini Street	NA	1416	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
23/10/2009	22/11/2010	8/170 Hawker Place	NA	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
29/03/2009	5/05/2009	40 Woolner Circuit	NA	1196	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
22/12/2009	15/02/2010	20 Murranji Street	NA	1177	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
28/01/2009	18/03/2009	2/8 Bonrook Street	NA	5017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
31/05/2009	7/06/2010	16 Florina Place	NA	1860	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
29/07/2009	9/09/2009	24 Tanumbirini Street	NA	1533	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
18/02/2009	1/06/2009	22 Woolner Circuit	NA	1256	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
16/09/2009	11/02/2010	5 Alexandria Street	NA	955	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
3/12/2009	28/01/2010	16 Kulgera Street	NA	825	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
23/10/2009	25/01/2010	2/14 Andado Place	NA	1808	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
15/07/2009	11/03/2010	13 Goodparla Street	NA	1295	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
29/05/2009	18/06/2009	16 Dungowan Street	NA	1412	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
12/02/2009	17/04/2009	15 Kurundi Place	NA	2034	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
11/09/2008	27/10/2008	4 Marrakai Street	855000	2279	Full transfer	Single residential dwelling	16/07/2008	4	3	NA	NA	2
13/05/2008	13/06/2008	15 Marrakai Street	820000	1371	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
25/03/2008	20/05/2008	19 Elsey Street	782000	1004	Full transfer	Single residential dwelling	24/01/2008	4	1	1	2	NA
24/05/2008	21/08/2008	7 Kurundi Place	765000	1910	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
15/02/2008	30/04/2008	34 Moroak Street	750000	1068	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
15/02/2008	NA	34 Moroak Street *	750000	NA	Full transfer	NA	6/02/2008	5	1	2	2	NA
4/10/2008	5/02/2009	6 Florina Place	720000	1306	Full transfer	Single residential dwelling	4/09/2008	4	1	1	2	NA
17/09/2008	15/12/2008	8 Ambalindum Street	720000	1348	Full transfer	Single residential dwelling	27/08/2008	5	2	1	3	NA
22/11/2008	16/03/2009	21 Goodparla Street	717000	1089	Full transfer	Single residential dwelling	30/10/2008	5	1	2	2	NA
1/10/2008	22/12/2008	34 Kulgera Street	700000	908	Full transfer	Single residential dwelling	4/09/2008	5	2	1	2	NA
11/07/2008	9/09/2008	18 Tanumbirini Street	700000	1564	Full transfer	Single residential dwelling	27/02/2008	5	1	1	1	3
16/05/2008	2/07/2008	75 Erldunda Circuit	695000	1020	Full transfer	Single residential dwelling	7/06/2008	4	2	1	3	NA
23/02/2008	29/04/2008	12 Dungowan Street	662000	970	Full transfer	Single residential dwelling	31/03/2008	5	1	1	NA	1
11/07/2008	14/08/2008	8 Kulgera Street	660000	1231	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
23/02/2008	3/07/2008	19 Moroak Street	652000	1147	Full transfer	Single residential dwelling	31/03/2008	4	1	2	NA	2
2/04/2008	27/06/2008	18 Woolner Circuit	640000	1184	Full transfer	Single residential dwelling	6/02/2008	4	2	1	2	NA
3/11/2008	30/01/2009	31 Tanumbirini Street	630000	1059	Full transfer	Single residential dwelling	16/10/2008	4	1	1	2	NA
21/01/2008	NA	1 Tobermorey Place *	628000	1098	Full transfer	NA	8/12/2007	4	1	1	2	1
12/09/2008	22/10/2008	20 Kulgera Street	627000	914	Full transfer	Single residential dwelling	29/08/2008	4	1	1	NA	2
16/10/2008	10/12/2008	4 Woolner Circuit	625000	1051	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
11/10/2008	2/02/2009	23 Alexandria Street	623500	1102	Full transfer	Single residential dwelling	18/09/2008	4	1	1	2	NA
12/10/2008	10/03/2009	4 Alroy Circuit	575000	869	Full transfer	Single residential dwelling	16/10/2008	4	1	2	2	NA
6/02/2008	NA	94 Erldunda Circuit *	550000	1312	Full transfer	NA	9/01/2008	4	1	1	NA	2
6/02/2008	26/03/2008	94 Erldunda Circuit	550000	1312	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
1/02/2008	14/05/2008	1 Murranji Street	542000	1029	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
28/06/2008	7/10/2008	17 Elsey Street	540000	850	Full transfer	Single residential dwelling	20/05/2008	3	1	1	2	NA
19/11/2008	4/01/2009	37 Tanumbirini Street	518000	861	Full transfer	Single residential dwelling	30/10/2008	4	1	1	2	NA
9/12/2008	24/03/2009	70 Springvale Drive	490000	1176	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
25/02/2008	13/06/2008	10/10 Jinka Street	490000	7726	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
25/02/2008	NA	34 Jinka Street *	490000	610	Full transfer	NA	20/02/2008	3	1	1	2	NA
2/04/2008	3/06/2008	11 Kulgera Street	482500	859	Full transfer	Single residential dwelling	31/03/2008	3	1	1	NA	2
9/02/2008	27/03/2008	10/42 Jinka Street	460000	6092	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
8/11/2008	17/12/2008	4 Dungowan Street	454000	748	Full transfer	Single residential dwelling	16/10/2008	4	1	1	NA	2
21/06/2008	13/08/2008	2 Murranji Street	450000	1047	Full transfer	Single residential dwelling	9/09/2007	3	2	0	2	NA
19/03/2008	29/04/2008	6/42 Jinka Street	450000	6092	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
20/03/2008	NA	6/42 Jinka Street *	450000	6092	Full transfer	NA	6/02/2008	3	1	1	2	NA
18/12/2008	17/02/2009	17 Andado Place	425000	1931	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
15/01/2008	1/05/2008	148 Murranji Street	420000	300	Full transfer	Medium density dwelling	5/11/2007	3	1	NA	NA	NA
29/12/2008	5/03/2009	1 Marqua Place	393000	431	Full transfer	Medium density dwelling	27/10/2008	3	1	1	2	NA
