"YEAR","STATE","EVTYPE","COUNT","FATALITIES","INJURIES","PROPDMG","CROPDMG"
1985,"indiana","THUNDERSTORM / THUNDERSTORM WIND",147,0,10,0,0
1985,"indiana","TORNADO",8,0,2,5.105,0
1986,"indiana","THUNDERSTORM / THUNDERSTORM WIND",196,0,1,0,0
1986,"indiana","TORNADO",26,1,50,51.3325,0
1986,"indiana","HAIL",52,0,0,0,0
1987,"indiana","HAIL",45,0,0,0,0
1987,"indiana","TORNADO",17,0,3,2.85528,0
1987,"indiana","THUNDERSTORM / THUNDERSTORM WIND",205,0,2,0,0
1988,"indiana","TORNADO",16,0,8,4.60525,0
1988,"indiana","HAIL",25,0,0,0,0
1988,"indiana","THUNDERSTORM / THUNDERSTORM WIND",111,1,25,0,0
1989,"indiana","HAIL",93,0,0,0,0
1989,"indiana","TORNADO",26,0,19,29.4305,0
1989,"indiana","THUNDERSTORM / THUNDERSTORM WIND",151,1,20,0,0
1990,"indiana","HAIL",68,0,0,0,0
1990,"indiana","THUNDERSTORM / THUNDERSTORM WIND",211,4,15,0,0
1990,"indiana","TORNADO",69,8,220,95.80803,0
1991,"indiana","HAIL",67,0,0,0,0
1991,"indiana","THUNDERSTORM / THUNDERSTORM WIND",195,1,26,0,0
1991,"indiana","TORNADO",15,1,6,26.055,0
1992,"indiana","THUNDERSTORM / THUNDERSTORM WIND",216,0,8,0,0
1992,"indiana","TORNADO",55,0,71,78.1575,0
1950,"iowa","TORNADO",4,0,5,3e-05,0
1951,"iowa","TORNADO",5,0,17,0,0
1952,"iowa","TORNADO",6,0,5,2.5,0
1953,"iowa","TORNADO",32,2,19,1.405,0
1954,"iowa","TORNADO",19,1,4,0.88075,0
1955,"iowa","TORNADO",7,0,0,0.1075,0
1955,"iowa","HAIL",8,0,0,0,0
1955,"iowa","THUNDERSTORM / THUNDERSTORM WIND",10,0,0,0,0
1956,"iowa","HAIL",12,0,0,0,0
1956,"iowa","TORNADO",7,0,9,0.0535,0
1956,"iowa","THUNDERSTORM / THUNDERSTORM WIND",27,0,0,0,0
1957,"iowa","HAIL",8,0,0,0,0
1957,"iowa","TORNADO",17,0,1,0.63031,0
1957,"iowa","THUNDERSTORM / THUNDERSTORM WIND",21,0,0,0,0
1958,"iowa","TORNADO",16,0,2,0.63756,0
1958,"iowa","THUNDERSTORM / THUNDERSTORM WIND",26,0,0,0,0
1958,"iowa","HAIL",7,0,0,0,0
1959,"iowa","HAIL",15,0,0,0,0
1959,"iowa","THUNDERSTORM / THUNDERSTORM WIND",25,0,0,0,0
1959,"iowa","TORNADO",26,0,7,4.25,0
1960,"iowa","TORNADO",29,1,5,2.315,0
1960,"iowa","HAIL",32,0,0,0,0
1960,"iowa","THUNDERSTORM / THUNDERSTORM WIND",28,0,0,0,0
1961,"iowa","HAIL",28,0,0,0,0
1961,"iowa","TORNADO",16,1,24,15.475,0
1961,"iowa","THUNDERSTORM / THUNDERSTORM WIND",26,0,0,0,0
1962,"iowa","HAIL",41,0,0,0,0
1962,"iowa","THUNDERSTORM / THUNDERSTORM WIND",35,0,0,0,0
1962,"iowa","TORNADO",12,1,5,1.85,0
1963,"iowa","TORNADO",15,0,2,0.75253,0
1963,"iowa","HAIL",18,0,0,0,0
1963,"iowa","THUNDERSTORM / THUNDERSTORM WIND",24,0,0,0,0
1964,"iowa","HAIL",24,0,0,0,0
1964,"iowa","THUNDERSTORM / THUNDERSTORM WIND",56,0,0,0,0
1964,"iowa","TORNADO",55,1,73,43.2025,0
1965,"iowa","HAIL",40,0,0,0,0
1965,"iowa","THUNDERSTORM / THUNDERSTORM WIND",52,0,0,0,0
1965,"iowa","TORNADO",56,2,55,13.94728,0
1966,"iowa","HAIL",13,0,0,0,0
1966,"iowa","TORNADO",41,6,176,29.89009,0
1966,"iowa","THUNDERSTORM / THUNDERSTORM WIND",33,0,0,0,0
1967,"iowa","HAIL",30,0,0,0,0
1967,"iowa","TORNADO",53,3,36,17.97753,0
1967,"iowa","THUNDERSTORM / THUNDERSTORM WIND",40,0,0,0,0
1968,"iowa","HAIL",33,0,0,0,0
1968,"iowa","THUNDERSTORM / THUNDERSTORM WIND",73,0,0,0,0
1968,"iowa","TORNADO",28,18,636,55.44009,0
1969,"iowa","HAIL",32,0,0,0,0
1969,"iowa","TORNADO",28,0,0,2.4275,0
1969,"iowa","THUNDERSTORM / THUNDERSTORM WIND",90,0,0,0,0
1970,"iowa","THUNDERSTORM / THUNDERSTORM WIND",105,0,0,0,0
1970,"iowa","HAIL",27,0,0,0,0
1970,"iowa","TORNADO",22,0,0,3.55753,0
1971,"iowa","THUNDERSTORM / THUNDERSTORM WIND",99,0,0,0,0
1971,"iowa","HAIL",43,0,0,0,0
1971,"iowa","TORNADO",35,1,27,15.80053,0
1972,"iowa","HAIL",26,0,0,0,0
1972,"iowa","TORNADO",25,0,3,5.93003,0
1972,"iowa","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1973,"iowa","HAIL",40,0,0,0,0
1973,"iowa","TORNADO",33,2,21,4.2825,0
1973,"iowa","THUNDERSTORM / THUNDERSTORM WIND",108,0,0,0,0
1974,"iowa","HAIL",125,0,0,0,0
1974,"iowa","THUNDERSTORM / THUNDERSTORM WIND",191,0,0,0,0
1974,"iowa","TORNADO",27,3,106,36.928,0
1975,"iowa","TORNADO",40,0,7,4.92078,0
1975,"iowa","HAIL",38,0,0,0,0
1975,"iowa","THUNDERSTORM / THUNDERSTORM WIND",133,0,0,0,0
1976,"iowa","HAIL",45,0,0,0,0
1976,"iowa","THUNDERSTORM / THUNDERSTORM WIND",41,0,0,0,0
1976,"iowa","TORNADO",26,0,17,28.33056,0
1977,"iowa","TORNADO",38,0,23,5.3805,0
1977,"iowa","THUNDERSTORM / THUNDERSTORM WIND",40,0,0,0,0
1977,"iowa","HAIL",23,0,0,0,0
1978,"iowa","HAIL",41,0,0,0,0
1978,"iowa","THUNDERSTORM / THUNDERSTORM WIND",73,0,0,0,0
1978,"iowa","TORNADO",27,6,47,13.825,0
1979,"iowa","TORNADO",61,7,114,67.76575,0
1979,"iowa","HAIL",45,0,0,0,0
1979,"iowa","THUNDERSTORM / THUNDERSTORM WIND",100,0,0,0,0
1980,"iowa","HAIL",95,0,0,0,0
1980,"iowa","TORNADO",50,0,8,35.805,0
1980,"iowa","THUNDERSTORM / THUNDERSTORM WIND",143,0,0,0,0
1981,"iowa","TORNADO",36,0,12,24.3875,0
1981,"iowa","THUNDERSTORM / THUNDERSTORM WIND",86,0,0,0,0
1981,"iowa","HAIL",68,0,0,0,0
1982,"iowa","TORNADO",36,0,1,8.81105,0
1982,"iowa","HAIL",34,0,0,0,0
1982,"iowa","THUNDERSTORM / THUNDERSTORM WIND",84,0,0,0,0
1983,"iowa","THUNDERSTORM / THUNDERSTORM WIND",143,0,0,0,0
1983,"iowa","TORNADO",33,0,35,10.73556,0
1983,"iowa","HAIL",35,0,0,0,0
1984,"iowa","HAIL",56,0,0,0,0
1984,"iowa","THUNDERSTORM / THUNDERSTORM WIND",148,3,9,0,0
1984,"iowa","TORNADO",81,3,100,270.938,0
1985,"iowa","THUNDERSTORM / THUNDERSTORM WIND",127,0,1,0,0
1985,"iowa","HAIL",86,0,0,0,0
1985,"iowa","TORNADO",28,2,30,28.4275,0
1986,"iowa","HAIL",100,0,0,0,0
1986,"iowa","TORNADO",47,1,8,517.45775,0
1986,"iowa","THUNDERSTORM / THUNDERSTORM WIND",211,0,25,0,0
1987,"iowa","HAIL",84,0,0,0,0
1987,"iowa","TORNADO",44,0,0,13.25328,0
1987,"iowa","THUNDERSTORM / THUNDERSTORM WIND",120,0,0,0,0
1988,"iowa","THUNDERSTORM / THUNDERSTORM WIND",99,0,1,0,0
1988,"iowa","TORNADO",67,0,92,282.808,0
1988,"iowa","HAIL",39,0,0,0,0
1989,"iowa","HAIL",84,0,0,0,0
1989,"iowa","THUNDERSTORM / THUNDERSTORM WIND",216,0,6,0,0
1989,"iowa","TORNADO",40,0,9,234.47303,0
1990,"iowa","TORNADO",80,0,16,134.62578,0
1990,"iowa","HAIL",67,0,0,0,0
1990,"iowa","THUNDERSTORM / THUNDERSTORM WIND",189,0,6,0,0
1991,"iowa","HAIL",95,4,0,0,0
1991,"iowa","THUNDERSTORM / THUNDERSTORM WIND",226,1,22,0,0
1991,"iowa","TORNADO",62,0,4,20.54875,0
1992,"iowa","TORNADO",30,0,3,10.924,0
1992,"iowa","THUNDERSTORM / THUNDERSTORM WIND",148,1,3,0,0
1950,"kansas","TORNADO",33,1,26,5.0925,0
1951,"kansas","TORNADO",77,8,115,3.70281,0
1952,"kansas","TORNADO",21,0,3,0.88025,0
1953,"kansas","TORNADO",30,0,3,0.60775,0
1954,"kansas","TORNADO",68,0,2,0.706,0
1955,"kansas","HAIL",28,0,0,0,0
1955,"kansas","TORNADO",101,81,275,1.7975,0
1955,"kansas","THUNDERSTORM / THUNDERSTORM WIND",32,0,0,0,0
1956,"kansas","HAIL",46,0,0,0,0
1956,"kansas","TORNADO",78,3,52,23.03525,0
1956,"kansas","THUNDERSTORM / THUNDERSTORM WIND",104,0,0,0,0
1957,"kansas","HAIL",41,0,0,0,0
1957,"kansas","TORNADO",66,7,36,10.85058,0
1957,"kansas","THUNDERSTORM / THUNDERSTORM WIND",47,0,0,0,0
1958,"kansas","HAIL",77,0,0,0,0
1958,"kansas","TORNADO",49,15,24,3.05781,0
1958,"kansas","THUNDERSTORM / THUNDERSTORM WIND",83,0,0,0,0
1959,"kansas","HAIL",73,0,0,0,0
1959,"kansas","TORNADO",67,1,5,1.27525,0
1959,"kansas","THUNDERSTORM / THUNDERSTORM WIND",72,0,0,0,0
1960,"kansas","THUNDERSTORM / THUNDERSTORM WIND",73,0,0,0,0
1960,"kansas","TORNADO",61,1,121,28.83551,0
1960,"kansas","HAIL",61,0,0,0,0
1961,"kansas","TORNADO",49,0,15,10.71009,0
1961,"kansas","HAIL",66,0,0,0,0
1961,"kansas","THUNDERSTORM / THUNDERSTORM WIND",54,0,0,0,0
1962,"kansas","HAIL",93,0,0,0,0
1962,"kansas","THUNDERSTORM / THUNDERSTORM WIND",81,0,0,0,0
1962,"kansas","TORNADO",63,0,16,7.87003,0
1963,"kansas","HAIL",60,0,0,0,0
1963,"kansas","THUNDERSTORM / THUNDERSTORM WIND",65,0,0,0,0
1963,"kansas","TORNADO",31,0,3,0.38428,0
1964,"kansas","TORNADO",96,4,42,6.39125,0
1964,"kansas","HAIL",90,0,0,0,0
1964,"kansas","THUNDERSTORM / THUNDERSTORM WIND",78,0,0,0,0
1965,"kansas","THUNDERSTORM / THUNDERSTORM WIND",68,0,0,0,0
1965,"kansas","TORNADO",74,0,55,5.75775,0
1965,"kansas","HAIL",73,0,0,0,0
1966,"kansas","THUNDERSTORM / THUNDERSTORM WIND",64,0,0,0,0
1966,"kansas","HAIL",90,0,0,0,0
1966,"kansas","TORNADO",35,17,513,255.71075,0
1967,"kansas","HAIL",63,0,0,0,0
1967,"kansas","THUNDERSTORM / THUNDERSTORM WIND",88,0,0,0,0
1967,"kansas","TORNADO",30,2,40,33.85528,0
1968,"kansas","HAIL",103,0,0,0,0
1968,"kansas","THUNDERSTORM / THUNDERSTORM WIND",89,0,0,0,0
1968,"kansas","TORNADO",24,0,16,0.9825,0
1969,"kansas","HAIL",77,0,0,0,0
1969,"kansas","TORNADO",19,0,77,26.78,0
1969,"kansas","THUNDERSTORM / THUNDERSTORM WIND",95,0,0,0,0
1970,"kansas","HAIL",73,0,0,0,0
1970,"kansas","TORNADO",31,0,5,10.45803,0
1970,"kansas","THUNDERSTORM / THUNDERSTORM WIND",103,0,0,0,0
1971,"kansas","THUNDERSTORM / THUNDERSTORM WIND",92,0,0,0,0
1971,"kansas","TORNADO",39,0,13,1.5405,0
1971,"kansas","HAIL",105,0,0,0,0
1972,"kansas","HAIL",69,0,0,0,0
1972,"kansas","THUNDERSTORM / THUNDERSTORM WIND",40,0,0,0,0
1972,"kansas","TORNADO",46,0,17,2.51275,0
1973,"kansas","HAIL",85,0,0,0,0
1973,"kansas","TORNADO",67,6,53,258.74034,0
1973,"kansas","THUNDERSTORM / THUNDERSTORM WIND",107,0,0,0,0
1974,"kansas","TORNADO",45,6,187,62.49006,0
1974,"kansas","THUNDERSTORM / THUNDERSTORM WIND",104,0,0,0,0
1974,"kansas","HAIL",266,0,0,0,0
1975,"kansas","THUNDERSTORM / THUNDERSTORM WIND",108,0,0,0,0
1975,"kansas","HAIL",105,0,0,0,0
1975,"kansas","TORNADO",17,0,0,1.08509,0
1976,"kansas","HAIL",67,0,0,0,0
1976,"kansas","TORNADO",21,0,4,2.8375,0
1976,"kansas","THUNDERSTORM / THUNDERSTORM WIND",46,0,0,0,0
1977,"kansas","THUNDERSTORM / THUNDERSTORM WIND",66,0,0,0,0
1977,"kansas","HAIL",114,0,0,0,0
1977,"kansas","TORNADO",22,0,1,18.38262,0
1978,"kansas","THUNDERSTORM / THUNDERSTORM WIND",124,0,0,0,0
1978,"kansas","HAIL",69,0,0,0,0
1978,"kansas","TORNADO",31,19,6,7.62818,0
1979,"kansas","THUNDERSTORM / THUNDERSTORM WIND",76,0,0,0,0
1979,"kansas","TORNADO",35,0,20,7.76509,0
1979,"kansas","HAIL",95,0,0,0,0
1980,"kansas","THUNDERSTORM / THUNDERSTORM WIND",122,0,0,0,0
1980,"kansas","HAIL",105,0,0,0,0
1980,"kansas","TORNADO",21,0,5,4.0575,0
1981,"kansas","THUNDERSTORM / THUNDERSTORM WIND",100,0,0,0,0
1981,"kansas","TORNADO",40,1,42,31.56284,0
1981,"kansas","HAIL",117,0,0,0,0
1982,"kansas","HAIL",195,0,0,0,0
1982,"kansas","THUNDERSTORM / THUNDERSTORM WIND",191,0,0,0,0
1982,"kansas","TORNADO",67,3,21,50.90792,0
1983,"kansas","THUNDERSTORM / THUNDERSTORM WIND",92,0,0,0,0
1983,"kansas","TORNADO",32,1,29,31.13636,0
1983,"kansas","HAIL",136,0,0,0,0
1984,"kansas","HAIL",158,0,0,0,0
1984,"kansas","TORNADO",67,1,22,82.75189,0
1984,"kansas","THUNDERSTORM / THUNDERSTORM WIND",126,4,23,0,0
1985,"kansas","TORNADO",22,0,1,13.3125,0
1985,"kansas","THUNDERSTORM / THUNDERSTORM WIND",196,1,11,0,0
1985,"kansas","HAIL",197,0,2,0,0
1986,"kansas","THUNDERSTORM / THUNDERSTORM WIND",227,0,6,0,0
1986,"kansas","HAIL",400,0,19,0,0
1986,"kansas","TORNADO",37,0,3,7.19025,0
1987,"kansas","HAIL",223,0,0,0,0
1987,"kansas","THUNDERSTORM / THUNDERSTORM WIND",281,0,59,0,0
1987,"kansas","TORNADO",23,0,2,7.30775,0
1988,"kansas","TORNADO",24,0,24,3.136,0
1988,"kansas","THUNDERSTORM / THUNDERSTORM WIND",124,0,9,0,0
1988,"kansas","HAIL",79,0,0,0,0
1989,"kansas","HAIL",242,0,0,0,0
1989,"kansas","THUNDERSTORM / THUNDERSTORM WIND",180,3,4,0,0
1989,"kansas","TORNADO",31,0,1,0.32525,0
1990,"kansas","THUNDERSTORM / THUNDERSTORM WIND",174,0,37,0,0
1990,"kansas","TORNADO",109,2,86,225.57,0
1990,"kansas","HAIL",340,0,0,0,0
1991,"kansas","TORNADO",130,19,259,574.96781,0
1991,"kansas","HAIL",556,0,0,0,0
1991,"kansas","THUNDERSTORM / THUNDERSTORM WIND",191,1,12,0,0
1992,"kansas","TORNADO",94,0,13,62.7355,0
1992,"kansas","THUNDERSTORM / THUNDERSTORM WIND",235,0,16,0,0
1950,"kentucky","TORNADO",2,0,0,0.5,0
1951,"kentucky","TORNADO",2,1,11,0.275,0
1952,"kentucky","TORNADO",3,0,21,0.25,0
1954,"kentucky","TORNADO",3,0,0,0.2775,0
1955,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",9,0,0,0,0
1955,"kentucky","HAIL",6,0,0,0,0
1955,"kentucky","TORNADO",3,0,13,0.525,0
1956,"kentucky","HAIL",4,0,0,0,0
1956,"kentucky","TORNADO",10,1,16,2.85753,0
1956,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",5,0,0,0,0
1957,"kentucky","TORNADO",4,0,0,0.3,0
1957,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",15,0,0,0,0
1958,"kentucky","TORNADO",8,0,12,0.35503,0
1958,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",16,0,0,0,0
1958,"kentucky","HAIL",1,0,0,0,0
1959,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",15,0,0,0,0
1959,"kentucky","TORNADO",3,3,6,2.775,0
1959,"kentucky","HAIL",6,0,0,0,0
1960,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",11,0,0,0,0
1960,"kentucky","HAIL",4,0,0,0,0
1960,"kentucky","TORNADO",2,0,12,2.50025,0
1961,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",21,0,0,0,0
1961,"kentucky","HAIL",4,0,0,0,0
1961,"kentucky","TORNADO",10,1,66,20.05,0
1962,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",11,0,0,0,0
1962,"kentucky","HAIL",6,0,0,0,0
1962,"kentucky","TORNADO",3,0,0,0.05,0
1963,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",15,0,0,0,0
1963,"kentucky","TORNADO",9,0,7,1.125,0
1963,"kentucky","HAIL",2,0,0,0,0
1964,"kentucky","TORNADO",17,3,35,1.705,0
1964,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1964,"kentucky","HAIL",8,0,0,0,0
1965,"kentucky","HAIL",9,0,0,0,0
1965,"kentucky","TORNADO",7,1,11,3.05025,0
1965,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",17,0,0,0,0
1966,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",11,0,0,0,0
1966,"kentucky","TORNADO",4,0,2,0.1,0
1966,"kentucky","HAIL",7,0,0,0,0
1967,"kentucky","TORNADO",17,0,7,0.88,0
1967,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",19,0,0,0,0
1967,"kentucky","HAIL",9,0,0,0,0
1968,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",41,0,0,0,0
1968,"kentucky","TORNADO",12,7,398,30.55003,0
1968,"kentucky","HAIL",30,0,0,0,0
1969,"kentucky","TORNADO",5,0,15,0.305,0
1969,"kentucky","HAIL",9,0,0,0,0
1969,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",61,0,0,0,0
1970,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",93,0,0,0,0
1970,"kentucky","TORNADO",10,0,15,0.33,0
1970,"kentucky","HAIL",3,0,0,0,0
1971,"kentucky","TORNADO",20,9,130,13.18003,0
1971,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",55,0,0,0,0
1971,"kentucky","HAIL",21,0,0,0,0
1972,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",8,0,0,0,0
1972,"kentucky","HAIL",8,0,0,0,0
1972,"kentucky","TORNADO",12,0,9,1.3575,0
1973,"kentucky","TORNADO",19,0,15,1.035,0
1973,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",73,0,0,0,0
1973,"kentucky","HAIL",14,0,0,0,0
1974,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",59,0,0,0,0
1974,"kentucky","HAIL",26,0,0,0,0
1974,"kentucky","TORNADO",59,72,1306,70.47825,0
1975,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",36,0,0,0,0
1975,"kentucky","TORNADO",1,0,0,0.025,0
1975,"kentucky","HAIL",14,0,0,0,0
1976,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",51,0,0,0,0
1976,"kentucky","HAIL",17,0,0,0,0
1976,"kentucky","TORNADO",5,1,11,0.7775,0
1977,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",60,0,0,0,0
1977,"kentucky","TORNADO",13,0,23,2.35,0
1977,"kentucky","HAIL",13,0,0,0,0
1978,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",36,0,0,0,0
1978,"kentucky","HAIL",5,0,0,0,0
1978,"kentucky","TORNADO",5,0,17,7.775,0
1979,"kentucky","TORNADO",12,1,33,3.5505,0
1979,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",45,0,0,0,0
1979,"kentucky","HAIL",16,0,0,0,0
1980,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",65,0,0,0,0
1980,"kentucky","TORNADO",15,2,14,7.125,0
1980,"kentucky","HAIL",16,0,0,0,0
1981,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",85,0,0,0,0
1981,"kentucky","HAIL",13,0,0,0,0
1981,"kentucky","TORNADO",4,0,10,5.02525,0
1982,"kentucky","HAIL",61,0,0,0,0
1982,"kentucky","TORNADO",13,0,22,36.55,0
1982,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",99,0,0,0,0
1983,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",171,0,0,0,0
1983,"kentucky","TORNADO",9,0,7,2.60528,0
1983,"kentucky","HAIL",24,0,0,0,0
1984,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",122,0,4,0,0
1984,"kentucky","HAIL",26,0,0,0,0
1984,"kentucky","TORNADO",12,0,10,3.8775,0
1985,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",109,1,1,0,0
1985,"kentucky","TORNADO",5,0,0,2.6,0
1985,"kentucky","HAIL",30,0,0,0,0
1986,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",112,1,52,0,0
1986,"kentucky","HAIL",42,0,1,0,0
1986,"kentucky","TORNADO",10,0,28,25.65,0
1987,"kentucky","HAIL",17,0,0,0,0
1987,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",212,0,28,0,0
1987,"kentucky","TORNADO",7,0,0,0.08253,0
1988,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",29,0,0,0,0
1988,"kentucky","TORNADO",4,1,15,25.075,0
1988,"kentucky","HAIL",9,0,0,0,0
1989,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",93,0,20,0,0
1989,"kentucky","TORNADO",20,0,5,12.5755,0
1989,"kentucky","HAIL",43,0,0,0,0
1990,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",163,0,16,0,0
1990,"kentucky","HAIL",27,0,0,0,0
1990,"kentucky","TORNADO",20,0,7,34.4275,0
1991,"kentucky","HAIL",32,0,0,0,0
1991,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",161,2,26,0,0
1991,"kentucky","TORNADO",12,1,15,15.7775,0
1992,"kentucky","THUNDERSTORM / THUNDERSTORM WIND",115,0,4,0,0
1992,"kentucky","TORNADO",12,1,9,5.13275,0
1950,"louisiana","TORNADO",28,29,144,4.3,0
1951,"louisiana","TORNADO",10,0,14,0.7,0
1952,"louisiana","TORNADO",11,4,51,3.8525,0
1953,"louisiana","TORNADO",32,13,150,32.705,0
1954,"louisiana","TORNADO",11,2,11,0.42756,0
1955,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",7,0,0,0,0
1955,"louisiana","TORNADO",3,0,0,0.05003,0
1955,"louisiana","HAIL",5,0,0,0,0
1956,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",11,0,0,0,0
1956,"louisiana","HAIL",3,0,0,0,0
1956,"louisiana","TORNADO",6,0,4,0.80025,0
1957,"louisiana","TORNADO",33,14,90,4.9155,0
1957,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",14,0,0,0,0
1957,"louisiana","HAIL",3,0,0,0,0
1958,"louisiana","HAIL",5,0,0,0,0
1958,"louisiana","TORNADO",5,0,3,0.3275,0
1958,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",8,0,0,0,0
1959,"louisiana","TORNADO",12,0,4,0.608,0
1959,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",18,0,0,0,0
1959,"louisiana","HAIL",4,0,0,0,0
1960,"louisiana","TORNADO",9,0,12,0.8775,0
1960,"louisiana","HAIL",8,0,0,0,0
1960,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",11,0,0,0,0
1961,"louisiana","TORNADO",25,6,128,5.01025,0
1961,"louisiana","HAIL",17,0,0,0,0
1961,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",10,0,0,0,0
1962,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",10,0,0,0,0
1962,"louisiana","HAIL",16,0,0,0,0
1962,"louisiana","TORNADO",20,2,32,0.83578,0
1963,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",9,0,0,0,0
1963,"louisiana","TORNADO",9,0,5,0.531,0
1963,"louisiana","HAIL",9,0,0,0,0
1964,"louisiana","HAIL",11,0,0,0,0
1964,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",28,0,0,0,0
1964,"louisiana","TORNADO",16,22,173,12.63525,0
1965,"louisiana","TORNADO",29,0,11,2.0255,0
1965,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",36,0,0,0,0
1965,"louisiana","HAIL",20,0,0,0,0
1966,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",19,0,0,0,0
1966,"louisiana","TORNADO",12,0,2,0.059,0
1966,"louisiana","HAIL",9,0,0,0,0
1967,"louisiana","TORNADO",20,0,17,0.79,0
1967,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",22,0,0,0,0
1967,"louisiana","HAIL",4,0,0,0,0
1968,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",45,0,0,0,0
1968,"louisiana","TORNADO",17,0,1,0.46275,0
1968,"louisiana","HAIL",15,0,0,0,0
1969,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",39,0,0,0,0
1969,"louisiana","HAIL",7,0,0,0,0
1969,"louisiana","TORNADO",19,1,18,1.39,0
1970,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",31,0,0,0,0
1970,"louisiana","TORNADO",16,1,6,0.9325,0
1970,"louisiana","HAIL",5,0,0,0,0
1971,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",34,0,0,0,0
1971,"louisiana","TORNADO",23,12,37,15.64,0
1971,"louisiana","HAIL",7,0,0,0,0
1972,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",29,0,0,0,0
1972,"louisiana","TORNADO",17,0,5,1.7255,0
1972,"louisiana","HAIL",19,0,0,0,0
1973,"louisiana","TORNADO",35,1,52,16.13575,0
1973,"louisiana","HAIL",30,0,0,0,0
1973,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",66,0,0,0,0
1974,"louisiana","TORNADO",63,3,126,55.43806,0
1974,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",66,0,0,0,0
1974,"louisiana","HAIL",51,0,0,0,0
1975,"louisiana","TORNADO",57,3,60,2.40078,0
1975,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",122,0,0,0,0
1975,"louisiana","HAIL",46,0,0,0,0
1976,"louisiana","TORNADO",19,1,73,9.9,0
1976,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",49,0,0,0,0
1976,"louisiana","HAIL",53,0,0,0,0
1977,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",58,0,0,0,0
1977,"louisiana","TORNADO",48,1,29,10.47375,0
1977,"louisiana","HAIL",5,0,0,0,0
1978,"louisiana","TORNADO",29,4,291,261.13,0
1978,"louisiana","HAIL",21,0,0,0,0
1978,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",48,0,0,0,0
1979,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",84,0,0,0,0
1979,"louisiana","HAIL",12,0,0,0,0
1979,"louisiana","TORNADO",9,0,22,6.05,0
1980,"louisiana","THUNDERSTORM / THUNDERSTORM WIND",89,0,0,0,0
